software,counts,document
BrumiR,186,1
BDSS,95,1
Toolkit,92,2
BayesRC,88,1
UNet,88,3
Cadbiom,77,1
EBRAINS,76,2
ClinicaDL,76,1
VirHunter,74,1
NMMD,73,2
TomoFlow,73,2
NeuroLang,73,2
PeakForest,71,2
ICEscreen,71,1
HEMNMA,70,1
iVFM,69,2
ReMap,69,2
A4D,67,1
CG,63,2
ssGBLUP,63,3
ContinuousFlex,60,1
DeepHEMNMA,59,2
BayesRCπ,56,1
SILVI,55,2
polyply,52,1
Scipion,51,2
SLiM,51,2
BioEn,51,2
SIMUS,48,2
SimulAD,48,2
DeepSpot,47,2
ProbeInterface,43,2
KGP Meter,43,2
cgMLST,43,1
code,43,13
RamaMix,42,1
Field II,42,1
REDCap,38,1
MyChoice,37,2
TA,37,2
Genuage,35,2
Ensembl,34,2
FUCONE,32,2
Longformer,32,1
phyBWT,31,2
DeepVirFinder,31,1
BayesR,30,2
PFIELD,30,1
ELMo,30,2
GeMo,28,2
MOSAIC,28,2
GlobalSoilMap,28,2
GBLUP,28,3
ICEfinder,27,1
XU4,27,1
nAdder,26,1
SimCLR,26,2
napari,26,2
FreeSurfer,25,3
TrivialRand,25,1
Google Scholar,25,1
nicMSlesion,25,1
Neurosynth,24,1
RCDPeaks,24,2
IMAGEJ,24,1
ImageJ,23,2
EMfit,23,1
ECMT,23,3
Rookognise,23,2
Graphcut,23,2
DigAg,23,2
STracking,23,1
RNAseq,23,2
ScipionTomo,22,1
DLA-Ranker,22,1
StA,22,1
Raspberry,22,1
FishmiRNA,22,2
Verasonics,21,1
DeepMedic,21,2
Galaxy,21,1
scripts,21,3
protNAff,20,1
FIJI,20,1
CONJscan,20,1
scikit-learn,20,5
deepBlink,20,1
GROMOS,20,2
ShigEiFinder,19,1
PyTorch,19,7
tBLASTx,19,1
ReservoirPy,19,1
FirmiData,18,1
cryoET,18,1
GitHub,18,2
GENESIS,18,1
FOCUS,18,1
Clinica,18,1
TiAssisto,18,2
package,18,1
CogAt,17,2
ms,17,1
CNNet,17,2
phydynR,17,2
OpenCL,17,2
IPA,17,1
MP,17,2
cforest,17,2
MetaMap,16,1
Porechop_ABI,16,1
BMA,16,2
mirnovo,16,1
BlastP,15,2
Cov+,15,1
script,15,2
SpikeInterface,15,1
miRDeep2,15,1
Alphafold,15,3
msprime,15,1
MAS,15,2
CellCognition,15,1
cTAKES,15,1
GROMACS,14,2
ZigBee,14,1
Freesurfer,14,2
volBrain,14,1
TensorFlow,14,2
SIFR,14,1
GRATIN,14,2
GeoLifeCLEF,13,2
Mementop,13,1
AmpModRate,13,2
Jetson Nano,13,1
cpptraj,13,1
VirSorter2,13,1
library,13,2
BLAST,13,1
IBASAM,13,2
BLASTp,13,1
SimR,13,2
ATTRACT,13,1
FSRCNN,13,1
TreePar,13,1
CHARMM,12,2
LSPARCOM,12,1
Modelica,12,2
vol2Brain,12,1
Pathway Commons,12,1
APID,12,2
CLoNe,12,1
Kepler,12,1
Blastn,12,2
Taverna,12,1
Pegasus,12,1
OpenMP,12,1
SpATS,12,2
Model Catalog,12,1
Google,12,3
MEM,12,2
MemR,12,1
MEME,12,1
I-TASSER,12,1
FAMOUS,11,3
PickNext,11,2
PREDIMED,11,2
MetaCore,11,1
blastn,11,1
SUMnorm,11,1
hypervolume,11,2
BrainMap,11,1
BLASTn,11,2
MapReduce,11,1
SPARKLING,11,2
MetaIBASAM,11,1
NEURON,11,1
SPAdes,10,1
PHYRE2,10,1
NetMHCpan,10,1
HiCanu,10,1
STAPLE,10,2
dashboard,10,2
Monai,10,2
BluePyOpt,10,2
clinicadl,10,1
Excel,10,5
Relion,10,1
libraries,10,1
Snakemake,10,1
scipy,9,1
Subtree Picker,9,1
BLUPF,9,1
Android,9,1
SciPy,9,2
nnU-Net,9,2
XGBoost,9,2
Harmonist Data Toolkit,9,1
G4Hunter,9,1
ViPTree,9,1
G4NN,9,2
Porechop,9,1
VTK,9,2
UFNet,9,2
AMBER,9,2
PhenoArch,9,1
ICY,9,1
Jurkat,9,1
nnU,9,2
Mmg3d,9,2
Google Glass,9,2
ecco,9,2
Keras,8,1
Swift,8,1
scikit,8,3
QUPATH,8,1
Hadoop,8,1
Linux,8,1
StarDist,8,1
SelectedStudy,8,1
eFEL,8,1
IQ-TREE,8,1
SPM,8,2
SPARQL,8,1
Nextflow,8,1
Pytorch,8,5
ShigaTyper,8,1
codes,8,3
FastSurfer,8,1
HDOCK,8,2
Adam,8,2
HAWKDOCK,8,1
qtcluster,8,2
ImageNet,8,2
3d,7,1
Pymol,7,1
HMMER,7,2
pix2pix,7,2
PastML,7,2
ModelMaker,7,1
ZeroCostDL4Mic,7,1
miR-PREFeR,7,1
Spark,7,1
StringTie,7,1
HiFi,7,2
GNN,7,2
PhyloDeep,7,1
hierBAPS,7,1
Mascot,7,1
Triana,7,1
FocusReported,7,1
TermInStudy,7,1
Hybroscale,7,1
Dockground,7,1
TreeChild,7,1
Cellpose,7,1
DeepRank,7,1
RescueTime,7,1
QCANet,7,1
MacSyFinder,7,2
NeuroQuery,7,1
EDSaN,7,2
GSEA,7,2
Python,7,2
scTSA,7,1
BluePyEfe,6,1
RAMP,6,2
NeuroLangQA,6,1
DeepCell,6,1
OpenModelica,6,1
difference,6,1
Fiji,6,1
Proline,6,1
